State_Name,Season,Crop,Area,Production
2,1,28,182.0,248.0
2,4,18,73055.0,68379.0
2,4,13,16879.0,24897.0
2,4,16,12501.0,6951.0
2,4,22,14.0,5.0
2,4,9,3658.0,32300.0
2,4,23,173.0,4129.0
2,4,17,336.0,630.0
2,4,1,18416.0,49815.0
2,4,19,164.0,217.0
2,2,2,3603.0,160939.0
2,2,4,786.0,7141464.0
2,2,26,3766.0,1288.0
2,2,5,131.0,12305.0
2,2,14,42268.0,26305.0
2,2,8,4.0,40.0
2,1,12,20269.0,5919.0
2,1,15,2063.0,1226.0
2,1,7,1604.0,4031.0
2,1,13,510874.0,113925.0
2,1,16,41409.0,25881.0
2,1,9,8852.0,43924.0
2,1,10,448.0,115.0
2,1,23,1663.0,29811.0
2,1,17,2420.0,3780.0
2,1,1,32226.0,101512.0
2,1,25,1045.0,63.0
2,1,28,24.0,20.0
2,1,11,30.0,9.0
2,4,12,316.0,92.0
2,4,18,92936.0,107248.0
2,4,13,19507.0,28051.0
2,4,16,17721.0,14283.0
2,4,9,4615.0,33736.0
2,4,10,8.0,3.0
2,4,23,230.0,5665.0
2,4,17,1122.0,2458.0
2,4,1,19428.0,46899.0
2,4,11,17.0,13.0
2,4,19,179.0,97.0
2,2,2,5010.0,265981.0
2,2,4,725.0,4247685.0
2,2,26,4470.0,1797.0
2,2,5,112.0,9968.0
2,2,14,55286.0,33503.0
2,2,6,13.0,77.0
2,1,12,66013.0,11156.0
2,1,15,4338.0,2977.0
2,1,7,1968.0,7307.0
2,1,13,814077.0,446928.0
2,1,16,2606.0,2069.0
2,1,9,10726.0,51174.0
2,1,10,791.0,251.0
2,1,23,1620.0,26924.0
2,1,17,1876.0,3343.0
2,1,1,34973.0,102007.0
2,1,25,371.0,345.0
2,1,28,1682.0,2866.0
2,1,11,14.0,6.0
2,4,18,94240.0,73601.0
2,4,13,19993.0,34068.0
2,4,16,13274.0,8296.0
2,4,9,4750.0,43306.0
2,4,10,83.0,29.0
2,4,23,306.0,8233.0
2,4,17,556.0,831.0
2,4,1,24828.0,69394.0
2,4,11,559.0,299.0
2,4,19,131.0,171.0
2,2,2,4416.0,223825.0
2,2,26,5323.0,3604.0
2,2,27,21.0,236.0
2,2,5,235.0,20981.0
2,2,14,17615.0,14072.0
2,2,6,4.0,51.0
2,2,8,13.0,102.0
2,1,12,51728.0,4293.0
2,1,15,19299.0,12069.0
2,1,7,4101.0,10425.0
2,1,13,733960.0,174682.0
2,1,16,7190.0,7535.0
2,1,9,25447.0,63465.0
2,1,10,785.0,504.0
2,1,23,2757.0,39563.0
2,1,17,1574.0,2679.0
2,1,1,37720.0,94531.0
2,1,25,1092.0,714.0
2,1,28,1656.0,2676.0
2,1,11,32.0,17.0
2,4,12,17.0,1.0
2,4,7,64.0,83.0
2,4,18,68483.0,38008.0
2,4,13,19876.0,32696.0
2,4,16,7907.0,3882.0
2,4,9,6208.0,48168.0
2,4,10,132.0,79.0
2,4,23,208.0,4259.0
2,4,17,1695.0,3421.0
2,4,1,10948.0,25542.0
2,4,25,10.0,7.0
2,4,11,446.0,313.0
2,4,19,75.0,100.0
2,2,2,8000.0,505176.0
2,2,4,895.0,7165320.0
2,2,26,2399.0,1327.0
2,2,27,18.0,181.0
2,2,5,410.0,39186.0
2,2,14,13277.0,12094.0
2,2,6,2.0,26.0
2,2,8,321.0,2645.0
2,1,12,56586.0,8035.0
2,1,29,451.0,8211.0
2,1,26,2.0,1.0
2,1,15,27566.0,35511.0
2,1,7,2736.0,5603.0
2,1,31,238.0,7606.0
2,1,13,708708.0,295531.0
2,1,16,7599.0,6930.0
2,1,22,7.0,3.0
2,1,9,22039.0,63516.0
2,1,32,6276.0,57601.0
2,1,10,481.0,266.0
2,1,23,1548.0,25393.0
2,1,36,447.0,17197.0
2,1,17,1589.0,2336.0
2,1,1,22056.0,58691.0
2,1,25,1343.0,1613.0
2,1,28,919.0,1671.0
2,1,5,76.0,6954.0
2,1,14,6121.0,5197.0
2,1,37,2552.0,38561.0
2,1,8,65.0,728.0
2,1,11,31.0,29.0
2,4,29,251.0,4570.0
2,4,26,2606.0,1631.0
2,4,15,77.0,99.0
2,4,7,70.0,159.0
2,4,18,89676.0,77301.0
2,4,13,20987.0,34419.0
2,4,16,5795.0,3141.0
2,4,9,7070.0,50098.0
2,4,10,117.0,79.0
2,4,23,84.0,1195.0
2,4,27,36.0,634.0
2,4,17,823.0,1227.0
2,4,1,6998.0,17768.0
2,4,25,15.0,18.0
2,4,14,4459.0,1904.0
2,4,6,7.0,67.0
2,4,37,1395.0,31096.0
2,4,11,153.0,156.0
2,4,19,134.0,151.0
2,2,4,646.0,5571000.0
2,1,12,49932.0,9287.0
2,1,29,407.0,8624.0
2,1,3,9.0,3.0
2,1,15,37661.0,77316.0
2,1,7,2647.0,3965.0
2,1,31,247.0,5644.0
2,1,13,711145.0,286591.0
2,1,16,14486.0,9749.0
2,1,22,7.0,3.0
2,1,9,27087.0,53226.0
2,1,32,8711.0,74653.0
2,1,10,481.0,534.0
2,1,23,1414.0,31097.0
2,1,36,230.0,22418.0
2,1,17,2055.0,3163.0
2,1,1,28114.0,59377.0
2,1,25,935.0,856.0
2,1,28,2401.0,3866.0
2,1,5,281.0,26505.0
2,1,14,8109.0,6698.0
2,1,37,2991.0,88620.0
2,1,8,46.0,567.0
2,1,11,48.0,45.0
2,4,29,356.0,7543.0
2,4,26,1971.0,1234.0
2,4,15,62.0,127.0
2,4,7,27.0,54.0
2,4,18,85768.0,68614.0
2,4,13,17303.0,26335.0
2,4,16,6605.0,3137.0
2,4,9,7777.0,57970.0
2,4,10,129.0,81.0
2,4,23,611.0,14317.0
2,4,17,822.0,1462.0
2,4,1,12283.0,28558.0
2,4,25,11.0,10.0
2,4,14,5911.0,2879.0
2,4,6,1.0,9.0
2,4,37,3482.0,80532.0
2,4,11,4.0,3.0
2,4,19,62.0,39.0
2,2,2,8661.0,483881.0
2,2,3,9.0,3.0
2,2,4,552.0,3969000.0
2,2,26,1971.0,1234.0
2,2,22,7.0,3.0
2,2,27,82.0,1179.0
2,2,6,1.0,9.0
2,2,19,62.0,39.0
2,1,12,37562.0,4845.0
2,1,29,320.0,7596.0
2,1,3,19.0,7.0
2,1,26,162.0,84.0
2,1,15,73734.0,103779.0
2,1,7,2799.0,11848.0
2,1,31,309.0,6886.0
2,1,13,550794.0,148714.0
2,1,16,13189.0,4234.0
2,1,9,16839.0,42687.0
2,1,32,11278.0,70939.0
2,1,10,2428.0,2994.0
2,1,23,1969.0,35214.0
2,1,36,374.0,29443.0
2,1,27,15.0,281.0
2,1,17,1136.0,1713.0
2,1,1,22658.0,68155.0
2,1,25,691.0,606.0
2,1,28,44.0,50.0
2,1,5,30.0,2456.0
2,1,14,5066.0,1180.0
2,1,37,3976.0,113236.0
2,1,8,19.0,223.0
2,1,11,188.0,249.0
2,4,29,468.0,11108.0
2,4,26,8223.0,4251.0
2,4,15,884.0,1244.0
2,4,7,124.0,387.0
2,4,18,68092.0,38676.0
2,4,13,14957.0,24679.0
2,4,16,5263.0,1368.0
2,4,9,4474.0,31618.0
2,4,10,586.0,481.0
2,4,23,297.0,6767.0
2,4,27,77.0,1442.0
2,4,17,734.0,1122.0
2,4,1,6553.0,14377.0
2,4,25,47.0,41.0
2,4,14,3386.0,1642.0
2,4,6,4.0,44.0
2,4,37,4191.0,87055.0
2,4,11,42.0,61.0
2,2,4,687.0,5756000.0
2,2,1,29211.0,82532.0
2,1,12,6100.0,900.0
2,1,7,600.0,800.0
2,1,13,234900.0,144200.0
2,1,16,2400.0,1500.0
2,1,9,100.0,300.0
2,1,10,200.0,100.0
2,1,17,10800.0,9900.0
2,1,1,42300.0,84400.0
2,1,24,1300.0,200.0
2,1,21,400.0,100.0
2,1,5,29600.0,2775100.0
2,1,14,1300.0,600.0
2,4,7,3000.0,2100.0
2,4,13,28300.0,69800.0
2,4,17,1600.0,2300.0
2,4,1,57400.0,137400.0
2,4,14,900.0,400.0
2,1,12,6100.0,1000.0
2,1,7,600.0,900.0
2,1,13,235500.0,211000.0
2,1,16,2500.0,1400.0
2,1,9,100.0,300.0
2,1,10,300.0,200.0
2,1,17,10800.0,11000.0
2,1,1,42000.0,105400.0
2,1,24,1500.0,300.0
2,1,21,400.0,100.0
